Nombre de classes,Nbr_neurones_connectee,Dataset,Nbr_image_entrainement,Nbr_passes,Dataset_test,Nbr_image_test,Taux_reussite
2,128, catdog,1589,3, cats_dogs,378,66
2,128, catdog,1589,5, cats_dogs,378,66
2,128, catdog,1589,10, cats_dogs,378,67
2,128, catdog,1589,15, cats_dogs,378,63
2,128, catdog,1589,25, cats_dogs,378,72
2,128, catdog,1589,50, cats_dogs,378,66
9,128,savane50,334,3,savane100,178,60
9,128,savane50,334,5,savane100,178,54
9,128,savane50,334,10,savane100,178,54
9,128,savane50,334,15,savane100,178,55
9,128,savane50,334,25,savane100,178,51
9,128,savane50,334,50,savane100,178,51
9,128,savane100,693,3,savane100,178,8
9,128,savane100,693,5,savane100,178,10
9,128,savane100,693,10,savane100,178,10
9,128,savane100,693,15,savane100,178,5
9,128,savane100,693,25,savane100,178,8
9,128,savane100,693,50,savane100,178,9
9,512,savane100,693,3,savane100,178,10
9,512,savane100,693,5,savane100,178,6
9,512,savane100,693,10,savane100,178,7
9,512,savane100,693,15,savane100,178,7
9,512,savane100,693,25,savane100,178,7
9,512,savane100,693,50,savane100,178,7
